INFO:NEGATIVE WORD LENGTH: DALI ID: 0056b60ad09c4f389d107868e2d5c149, index (from get_file_path): 3, text: lifei, word length: -84.44, line number: 115
INFO:LONG WORD LENGTH: DALI ID: 059403b5f82447df8a1b9ceeee262d3e, index (from get_file_path): 91, text: see., word length: 7.38, word index: 164
INFO:LONG WORD LENGTH: DALI ID: 05d128a31ad64acca530cd8f4125a423, index (from get_file_path): 97, text: own, word length: 9.28, word index: 175
INFO:LONG WORD LENGTH: DALI ID: 05f17f5321d549178394cd615230ff1f, index (from get_file_path): 99, text: stay, word length: 5.42, word index: 158
INFO:LONG WORD LENGTH: DALI ID: 05f17f5321d549178394cd615230ff1f, index (from get_file_path): 99, text: stay, word length: 7.43, word index: 235
INFO:LONG WORD LENGTH: DALI ID: 05f17f5321d549178394cd615230ff1f, index (from get_file_path): 99, text: stay, word length: 5.82, word index: 236
INFO:LONG WORD LENGTH: DALI ID: 06287e31b1724d7ebffb17e5be5a6aa2, index (from get_file_path): 102, text: male, word length: 8.34, word index: 76
INFO:LONG WORD LENGTH: DALI ID: 06287e31b1724d7ebffb17e5be5a6aa2, index (from get_file_path): 102, text: millenovecentoquattro, word length: 5.33, word index: 102
INFO:LONG WORD LENGTH: DALI ID: 06287e31b1724d7ebffb17e5be5a6aa2, index (from get_file_path): 102, text: l'oppio, word length: 12.05, word index: 156
INFO:LONG WORD LENGTH: DALI ID: 06347d299fdd43bf86222ce8d2711c9a, index (from get_file_path): 104, text: you,, word length: 6.28, word index: 174
INFO:LONG WORD LENGTH: DALI ID: 06347d299fdd43bf86222ce8d2711c9a, index (from get_file_path): 104, text: yo-u,, word length: 6.28, word index: 176
INFO:LONG WORD LENGTH: DALI ID: 063a188535744764b78cf500319adf78, index (from get_file_path): 105, text: ahhhhhhhhhhiahhhhh..., word length: 38.46, word index: 254
INFO:LONG WORD LENGTH: DALI ID: 07521515d24446ce87762eaef5e2e921, index (from get_file_path): 129, text: low, word length: 5.17, word index: 260
INFO:LONG WORD LENGTH: DALI ID: 0754957cf76c411ab9b0f7ebbabd11d9, index (from get_file_path): 131, text: wrong?, word length: 5.89, word index: 363
INFO:LONG WORD LENGTH: DALI ID: 0785cec64b644b3a926f48468fc96489, index (from get_file_path): 136, text: knoooooow!, word length: 6.48, word index: 52
INFO:LONG WORD LENGTH: DALI ID: 0785cec64b644b3a926f48468fc96489, index (from get_file_path): 136, text: (solo), word length: 47.94, word index: 257
INFO:LONG WORD LENGTH: DALI ID: 07dd97dce65543fdb2e3eefcdb64b86a, index (from get_file_path): 143, text: bright, word length: 5.20, word index: 102
INFO:LONG WORD LENGTH: DALI ID: 07f5f6614a7e4748923887331f2c7022, index (from get_file_path): 144, text: liebt, word length: 8.42, word index: 111
INFO:LONG WORD LENGTH: DALI ID: 07f5f6614a7e4748923887331f2c7022, index (from get_file_path): 144, text: gut, word length: 5.87, word index: 224
INFO:LONG WORD LENGTH: DALI ID: 0860f8403f394e0fa37accc4760beee1, index (from get_file_path): 151, text: otworzeje, word length: 5.40, word index: 165
INFO:LONG WORD LENGTH: DALI ID: 086d2776ce7748f4b0a6abe038ddb03d, index (from get_file_path): 152, text: tiger,tiger,tiger, word length: 9.14, word index: 249
INFO:LONG WORD LENGTH: DALI ID: 08dd3393943f4bcb86103dfc82276a7e, index (from get_file_path): 158, text: glas, word length: 5.88, word index: 229
INFO:LONG WORD LENGTH: DALI ID: 0917181cbad04dfe861798592bfd8221, index (from get_file_path): 164, text: lies, word length: 5.55, word index: 64
INFO:LONG WORD LENGTH: DALI ID: 094d6c0af3e446c69b4369f4f508b90a, index (from get_file_path): 171, text: li-ight, word length: 5.09, word index: 19
INFO:LONG WORD LENGTH: DALI ID: 09566055ad1a468987a9d41e11e072d7, index (from get_file_path): 173, text: la-ausencia., word length: 7.73, word index: 30
INFO:LONG WORD LENGTH: DALI ID: 09566055ad1a468987a9d41e11e072d7, index (from get_file_path): 173, text: eternidad, word length: 7.04, word index: 117
INFO:LONG WORD LENGTH: DALI ID: 09566055ad1a468987a9d41e11e072d7, index (from get_file_path): 173, text: ausencia, word length: 6.69, word index: 159
INFO:LONG WORD LENGTH: DALI ID: 0982275fd25943ec943a51c40921119f, index (from get_file_path): 179, text: goooo, word length: 5.37, word index: 163
INFO:LONG WORD LENGTH: DALI ID: 0982275fd25943ec943a51c40921119f, index (from get_file_path): 179, text: gooo, word length: 5.57, word index: 165
INFO:LONG WORD LENGTH: DALI ID: 0982275fd25943ec943a51c40921119f, index (from get_file_path): 179, text: somewhere, word length: 6.66, word index: 185
INFO:LONG WORD LENGTH: DALI ID: 0a0806f1fb67405b8d3a5b0c19a8442a, index (from get_file_path): 185, text: mitsumesasete, word length: 5.83, word index: 13
INFO:LONG WORD LENGTH: DALI ID: 0a2158ab33ae4efcb8f1bdfd0ff49f56, index (from get_file_path): 189, text: avenge, word length: 5.25, word index: 53
INFO:LONG WORD LENGTH: DALI ID: 0a2158ab33ae4efcb8f1bdfd0ff49f56, index (from get_file_path): 189, text: avenge, word length: 5.25, word index: 94
INFO:LONG WORD LENGTH: DALI ID: 0a2158ab33ae4efcb8f1bdfd0ff49f56, index (from get_file_path): 189, text: avenge, word length: 5.25, word index: 112
INFO:LONG WORD LENGTH: DALI ID: 0a465461efa54b4aab8e3ec04870e6ae, index (from get_file_path): 191, text: afraid, word length: 5.96, word index: 182
INFO:LONG WORD LENGTH: DALI ID: 0a5e99bf11c24a6c968bb8ff04c9d023, index (from get_file_path): 194, text: mondo, word length: 5.96, word index: 206
INFO:LONG WORD LENGTH: DALI ID: 0addb1f2074845baac94a439752e2a3f, index (from get_file_path): 202, text: on, word length: 7.97, word index: 249
INFO:LONG WORD LENGTH: DALI ID: 0ae644629fc04c7ab169077cf994888a, index (from get_file_path): 203, text: down, word length: 5.23, word index: 278
INFO:LONG WORD LENGTH: DALI ID: 0ae644629fc04c7ab169077cf994888a, index (from get_file_path): 203, text: dynamite, word length: 5.97, word index: 281
INFO:LONG WORD LENGTH: DALI ID: 0b0ea222f9fc4ea583ce0cfdf6a21809, index (from get_file_path): 208, text: heart, word length: 5.06, word index: 293
INFO:LONG WORD LENGTH: DALI ID: 0b353829ccab40448911ace6a1cbab4e, index (from get_file_path): 215, text: oooooooooooooooh, word length: 7.11, word index: 125
INFO:LONG WORD LENGTH: DALI ID: 0b353829ccab40448911ace6a1cbab4e, index (from get_file_path): 215, text: oooooooooooooooh, word length: 6.99, word index: 126
INFO:LONG WORD LENGTH: DALI ID: 0bab98c05fde454ba4319b829e22bd4a, index (from get_file_path): 227, text: puoi, word length: 7.73, word index: 28
INFO:LONG WORD LENGTH: DALI ID: 0bab98c05fde454ba4319b829e22bd4a, index (from get_file_path): 227, text: miei, word length: 5.13, word index: 185
INFO:LONG WORD LENGTH: DALI ID: 0bb131003cad4009aaf10f987d9f1253, index (from get_file_path): 228, text: hard, word length: 5.48, word index: 173
INFO:LONG WORD LENGTH: DALI ID: 0bb131003cad4009aaf10f987d9f1253, index (from get_file_path): 228, text: hard, word length: 6.65, word index: 174
INFO:LONG WORD LENGTH: DALI ID: 0c04ddc9069245d99e0388756b943a0d, index (from get_file_path): 238, text: around..., word length: 7.63, word index: 577
INFO:LONG WORD LENGTH: DALI ID: 0c2c2ef0d9f64092b416dbd296ec462c, index (from get_file_path): 240, text: julia, word length: 5.47, word index: 54
INFO:LONG WORD LENGTH: DALI ID: 0c2c2ef0d9f64092b416dbd296ec462c, index (from get_file_path): 240, text: julia, word length: 5.12, word index: 102
INFO:LONG WORD LENGTH: DALI ID: 0c4756d3cd074c939f5cb7bb1f26a4f8, index (from get_file_path): 243, text: tout, word length: 9.46, word index: 290
INFO:LONG WORD LENGTH: DALI ID: 0ca8ae1cd0044d8183fd5bca70f478a1, index (from get_file_path): 248, text: fallshe's, word length: 12.54, word index: 89
INFO:LONG WORD LENGTH: DALI ID: 0ca8ae1cd0044d8183fd5bca70f478a1, index (from get_file_path): 248, text: fallhey, word length: 17.87, word index: 152
INFO:LONG WORD LENGTH: DALI ID: 0ca8ae1cd0044d8183fd5bca70f478a1, index (from get_file_path): 248, text: lylahey, word length: 7.82, word index: 192
INFO:NEGATIVE WORD LENGTH: DALI ID: 0cefb06841fb445eabe996ffcdf942ca, index (from get_file_path): 252, text: vivovivo, word length: -221.85, line number: 165
INFO:LONG WORD LENGTH: DALI ID: 0cefb06841fb445eabe996ffcdf942ca, index (from get_file_path): 252, text: suavecita, word length: 5.00, word index: 204
INFO:LONG WORD LENGTH: DALI ID: 0cf36226ad42496fa6966dd2fdd9df19, index (from get_file_path): 254, text: verlier, word length: 5.26, word index: 516
INFO:LONG WORD LENGTH: DALI ID: 0cf36226ad42496fa6966dd2fdd9df19, index (from get_file_path): 254, text: verstand..., word length: 7.65, word index: 518
INFO:LONG WORD LENGTH: DALI ID: 0cf4859ad53745c8aa0e40abd8f7d191, index (from get_file_path): 255, text: god, word length: 8.20, word index: 222
INFO:LONG WORD LENGTH: DALI ID: 0cf6a2c263fc40598e71567cbe1af26f, index (from get_file_path): 256, text: angezund't, word length: 8.80, word index: 26
INFO:LONG WORD LENGTH: DALI ID: 0d322a0602bc48f59086047b7937e8d9, index (from get_file_path): 260, text: scream, word length: 9.12, word index: 204
INFO:LONG WORD LENGTH: DALI ID: 0d322a0602bc48f59086047b7937e8d9, index (from get_file_path): 260, text: scream, word length: 6.12, word index: 209
INFO:LONG WORD LENGTH: DALI ID: 0d39ec52bf2442c591afe030826daf55, index (from get_file_path): 263, text: vegas, word length: 5.74, word index: 230
INFO:LONG WORD LENGTH: DALI ID: 0dc51935dab1400f90b46ac64e124d9f, index (from get_file_path): 273, text: oh, word length: 5.89, word index: 244
INFO:LONG WORD LENGTH: DALI ID: 0e09fbc3afbd41368d062d25ca3b241a, index (from get_file_path): 276, text: intro, word length: 29.31, word index: 0
INFO:LONG WORD LENGTH: DALI ID: 0e75b584369e4dcbb5e9e5a7b9e50c97, index (from get_file_path): 283, text: tomorrow., word length: 5.31, word index: 113
INFO:LONG WORD LENGTH: DALI ID: 0e75b584369e4dcbb5e9e5a7b9e50c97, index (from get_file_path): 283, text: tomorrow., word length: 5.87, word index: 229
INFO:LONG WORD LENGTH: DALI ID: 0e75b584369e4dcbb5e9e5a7b9e50c97, index (from get_file_path): 283, text: impossible!, word length: 5.87, word index: 248
INFO:LONG WORD LENGTH: DALI ID: 0e8ae1d783864698ad6093549ec412b8, index (from get_file_path): 284, text: gone, word length: 5.48, word index: 172
INFO:LONG WORD LENGTH: DALI ID: 0e9e1d024e1043268b9d9d31a7681ef4, index (from get_file_path): 286, text: all, word length: 5.32, word index: 95
INFO:LONG WORD LENGTH: DALI ID: 0eab5f7d52234149804b8960cd6cff79, index (from get_file_path): 289, text: tonight, word length: 5.01, word index: 245
INFO:LONG WORD LENGTH: DALI ID: 0eab5f7d52234149804b8960cd6cff79, index (from get_file_path): 289, text: tonight, word length: 5.51, word index: 255
INFO:LONG WORD LENGTH: DALI ID: 0ed4c41a05394bbca54a0d1e001c3082, index (from get_file_path): 293, text: glory, word length: 5.68, word index: 72
INFO:LONG WORD LENGTH: DALI ID: 0ed4c41a05394bbca54a0d1e001c3082, index (from get_file_path): 293, text: glory, word length: 6.61, word index: 81
INFO:LONG WORD LENGTH: DALI ID: 0eddf06a483b4f0ba349ad46bfb9be0c, index (from get_file_path): 295, text: alkoholvernichtungsmaschinen, word length: 5.09, word index: 12
INFO:LONG WORD LENGTH: DALI ID: 0f1db02a032c4b4083b574750d3e6e91, index (from get_file_path): 304, text: i, word length: 7.20, word index: 128
INFO:LONG WORD LENGTH: DALI ID: 0ffc03ac06034f0aa3d0e92a03a474ce, index (from get_file_path): 317, text: -sep-tem-ber-okt-o-ber-no-vem-ber-dez-em-ber., word length: 6.40, word index: 8
INFO:LONG WORD LENGTH: DALI ID: 0ffc03ac06034f0aa3d0e92a03a474ce, index (from get_file_path): 317, text: -sep-tem-ber-okt-o-ber-no-vem-ber-de-zem-ber, word length: 6.50, word index: 19
INFO:LONG WORD LENGTH: DALI ID: 0ffc03ac06034f0aa3d0e92a03a474ce, index (from get_file_path): 317, text: -sep-tem-ber-okt-o-ber-no-vem-ber-dez-em-ber., word length: 6.40, word index: 30
INFO:LONG WORD LENGTH: DALI ID: 0ffc03ac06034f0aa3d0e92a03a474ce, index (from get_file_path): 317, text: -sep-tem-ber-okt-o-ber-no-vem-ber-dez-em-ber., word length: 6.40, word index: 40
INFO:LONG WORD LENGTH: DALI ID: 0ffc03ac06034f0aa3d0e92a03a474ce, index (from get_file_path): 317, text: -sep-tem-ber-okt-o-ber-no-vem-ber-dez-em-ber., word length: 6.40, word index: 51
INFO:LONG WORD LENGTH: DALI ID: 104757c9872148b29a0c3606321d9e3d, index (from get_file_path): 321, text: just..., word length: 6.77, word index: 270
INFO:LONG WORD LENGTH: DALI ID: 109ea3d2849d4798bc226a7acda2d59e, index (from get_file_path): 330, text: lalalalalalala., word length: 5.41, word index: 143
INFO:LONG WORD LENGTH: DALI ID: 109ea3d2849d4798bc226a7acda2d59e, index (from get_file_path): 330, text: lalalalalalala., word length: 5.41, word index: 178
INFO:LONG WORD LENGTH: DALI ID: 109ea3d2849d4798bc226a7acda2d59e, index (from get_file_path): 330, text: lalalalalalalala., word length: 5.06, word index: 179
INFO:LONG WORD LENGTH: DALI ID: 111f0bb310eb4e22a2beb8d014365374, index (from get_file_path): 342, text: lalalalalalala., word length: 5.45, word index: 143
INFO:LONG WORD LENGTH: DALI ID: 111f0bb310eb4e22a2beb8d014365374, index (from get_file_path): 342, text: lalalalalalala., word length: 5.45, word index: 178
INFO:LONG WORD LENGTH: DALI ID: 111f0bb310eb4e22a2beb8d014365374, index (from get_file_path): 342, text: lalalalalalalala., word length: 5.10, word index: 179
INFO:LONG WORD LENGTH: DALI ID: 11a3007c14fb47d38a6d2a93008608e9, index (from get_file_path): 351, text: dreamer, word length: 6.05, word index: 134
INFO:LONG WORD LENGTH: DALI ID: 11a68306b797456fbf846c76ca58a809, index (from get_file_path): 352, text: eyes, word length: 6.11, word index: 157
INFO:LONG WORD LENGTH: DALI ID: 1253bf484af94301a49204cc7fd84a9d, index (from get_file_path): 363, text: peaaarl, word length: 5.04, word index: 19
INFO:LONG WORD LENGTH: DALI ID: 1253bf484af94301a49204cc7fd84a9d, index (from get_file_path): 363, text: straaa-nge, word length: 5.04, word index: 63
INFO:LONG WORD LENGTH: DALI ID: 12794f06c7bd4845988f86a3e85ba3bc, index (from get_file_path): 366, text: yoksun, word length: 7.74, word index: 104
INFO:LONG WORD LENGTH: DALI ID: 12b522803dee44e5b3719481fae57670, index (from get_file_path): 368, text: away, word length: 7.92, word index: 166
INFO:LONG WORD LENGTH: DALI ID: 12e56ea13efa4af9822718de03d5df8b, index (from get_file_path): 376, text: ah, word length: 9.02, word index: 266
INFO:LONG WORD LENGTH: DALI ID: 12e56ea13efa4af9822718de03d5df8b, index (from get_file_path): 376, text: ah, word length: 9.02, word index: 268
INFO:LONG WORD LENGTH: DALI ID: 12eac501f3494b0682b53c1303b41fd2, index (from get_file_path): 377, text: lalalalalalala., word length: 5.44, word index: 143
INFO:LONG WORD LENGTH: DALI ID: 12eac501f3494b0682b53c1303b41fd2, index (from get_file_path): 377, text: lalalalalalala., word length: 5.44, word index: 178
INFO:LONG WORD LENGTH: DALI ID: 12eac501f3494b0682b53c1303b41fd2, index (from get_file_path): 377, text: lalalalalalalala., word length: 5.09, word index: 179
INFO:LONG WORD LENGTH: DALI ID: 12f75558c53b4cdb8f4db2c73746a418, index (from get_file_path): 378, text: inside---, word length: 24.90, word index: 139
INFO:NEGATIVE WORD LENGTH: DALI ID: 1307a091299b41ebb25329e53065f94a, index (from get_file_path): 379, text: restmany's, word length: -222.09, line number: 181
INFO:LONG WORD LENGTH: DALI ID: 1334393d0ae34bb480ff0ba51d4d1a11, index (from get_file_path): 383, text: sailing, word length: 6.42, word index: 182
INFO:LONG WORD LENGTH: DALI ID: 134fa78a3d4a462299db018f0444ce26, index (from get_file_path): 388, text: tight, word length: 5.43, word index: 216
INFO:LONG WORD LENGTH: DALI ID: 1374e2bcf3ca47e4a0bfe1e7f24e0042, index (from get_file_path): 390, text: duele., word length: 9.48, word index: 175
INFO:LONG WORD LENGTH: DALI ID: 13c1cb90cc0f4e338fe7b0cdb928a400, index (from get_file_path): 401, text: stoned, word length: 5.86, word index: 123
INFO:LONG WORD LENGTH: DALI ID: 13fa185d70534bc19b2ce69ddeb86489, index (from get_file_path): 408, text: --, word length: 27.14, word index: 0
INFO:LONG WORD LENGTH: DALI ID: 13fa185d70534bc19b2ce69ddeb86489, index (from get_file_path): 408, text: -[instrumental-30-sec], word length: 26.08, word index: 184
INFO:LONG WORD LENGTH: DALI ID: 14339e9856b5466d967bb747be00a347, index (from get_file_path): 411, text: you-, word length: 6.03, word index: 280
INFO:LONG WORD LENGTH: DALI ID: 1449f5b09354457a83c78f7e7310f4fe, index (from get_file_path): 415, text: plaaaace, word length: 5.37, word index: 271
INFO:LONG WORD LENGTH: DALI ID: 146f3b3f2aa445269d1e0076e730352b, index (from get_file_path): 420, text: mhh, word length: 5.39, word index: 9
INFO:LONG WORD LENGTH: DALI ID: 1496482d80a34e128e3f4880767effed, index (from get_file_path): 424, text: daheim., word length: 7.15, word index: 214
INFO:LONG WORD LENGTH: DALI ID: 154522a3906e4397a20621f3835e2689, index (from get_file_path): 435, text: agaain, word length: 6.56, word index: 162
INFO:LONG WORD LENGTH: DALI ID: 159fe5be1af347a4b334a6b1c45bbea7, index (from get_file_path): 443, text: all, word length: 5.60, word index: 243
INFO:LONG WORD LENGTH: DALI ID: 159fe5be1af347a4b334a6b1c45bbea7, index (from get_file_path): 443, text: all, word length: 5.43, word index: 248
INFO:LONG WORD LENGTH: DALI ID: 15d6e9e88ced41dfbff38ba2f3e1d885, index (from get_file_path): 446, text: a-a-a-a-a-a-ah, word length: 5.08, word index: 220
INFO:LONG WORD LENGTH: DALI ID: 15d6e9e88ced41dfbff38ba2f3e1d885, index (from get_file_path): 446, text: you-u-u-u-u-u-u-, word length: 6.61, word index: 223
INFO:LONG WORD LENGTH: DALI ID: 1601bfdc637e4726a604f939fa08a373, index (from get_file_path): 450, text: insecure, word length: 7.21, word index: 117
INFO:LONG WORD LENGTH: DALI ID: 163802a0f19c4c05a67983cbc0940b71, index (from get_file_path): 456, text: versemoi,, word length: 6.93, word index: 126
INFO:LONG WORD LENGTH: DALI ID: 163802a0f19c4c05a67983cbc0940b71, index (from get_file_path): 456, text: you, word length: 5.14, word index: 177
INFO:LONG WORD LENGTH: DALI ID: 163802a0f19c4c05a67983cbc0940b71, index (from get_file_path): 456, text: aalone, word length: 5.86, word index: 178
INFO:LONG WORD LENGTH: DALI ID: 164c4d75d4234246b33492609cfffe03, index (from get_file_path): 459, text: s'apprenne-----, word length: 7.70, word index: 168
INFO:LONG WORD LENGTH: DALI ID: 1682f74ddb4d47ffb3174039872bee16, index (from get_file_path): 463, text: la-di-da-da-da-dam-da-da, word length: 5.42, word index: 148
INFO:LONG WORD LENGTH: DALI ID: 1682f74ddb4d47ffb3174039872bee16, index (from get_file_path): 463, text: la-di-dada-da-dam-da-da, word length: 5.04, word index: 149
INFO:LONG WORD LENGTH: DALI ID: 16a29fdf9f89403c90769e9ee98a1d2d, index (from get_file_path): 464, text: ema--re, word length: 5.27, word index: 194
INFO:LONG WORD LENGTH: DALI ID: 16e2cb597a4749e9b253e3df1b99815a, index (from get_file_path): 470, text: sins, word length: 10.41, word index: 196
INFO:LONG WORD LENGTH: DALI ID: 16e2cb597a4749e9b253e3df1b99815a, index (from get_file_path): 470, text: suitehearts, word length: 6.10, word index: 259
INFO:LONG WORD LENGTH: DALI ID: 1706fab4c8e14e38a228c3aa02894e36, index (from get_file_path): 472, text: c-c-c-c-c-cocaine, word length: 5.21, word index: 116
INFO:LONG WORD LENGTH: DALI ID: 1786ba37dac541a183e5fb3b183d60d6, index (from get_file_path): 485, text: dream, word length: 5.95, word index: 245
INFO:LONG WORD LENGTH: DALI ID: 17c9e17d21f544b2ad5f0c3e8a9b639c, index (from get_file_path): 492, text: smaaart!, word length: 7.77, word index: 256
INFO:LONG WORD LENGTH: DALI ID: 18a2184dd3924a9a94020bab15967471, index (from get_file_path): 503, text: thieves., word length: 6.83, word index: 156
INFO:LONG WORD LENGTH: DALI ID: 18a2184dd3924a9a94020bab15967471, index (from get_file_path): 503, text: ohh, word length: 5.26, word index: 211
INFO:LONG WORD LENGTH: DALI ID: 1916eff187b84c6c86a3bcdb27ee8da4, index (from get_file_path): 508, text: surrender, word length: 5.12, word index: 181
INFO:LONG WORD LENGTH: DALI ID: 1916eff187b84c6c86a3bcdb27ee8da4, index (from get_file_path): 508, text: surrender, word length: 5.34, word index: 212
INFO:LONG WORD LENGTH: DALI ID: 192effadfbc449f0b61b8944c56cdd98, index (from get_file_path): 509, text: learn, word length: 6.43, word index: 171
INFO:LONG WORD LENGTH: DALI ID: 192effadfbc449f0b61b8944c56cdd98, index (from get_file_path): 509, text: learn, word length: 6.25, word index: 199
INFO:LONG WORD LENGTH: DALI ID: 192effadfbc449f0b61b8944c56cdd98, index (from get_file_path): 509, text: oooah, word length: 8.04, word index: 200
INFO:LONG WORD LENGTH: DALI ID: 1abb9a2e60464001b4da2cdc38cd6545, index (from get_file_path): 530, text: oh, word length: 8.36, word index: 0
